lookback_1,label,duration,file,position
0,1,1/3,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",0
1,129,1/6,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",1
129,128,1/6,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",2
128,1,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",3
1,6144,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",4
6144,2048,1/6,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",5
2048,2193,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",6
2193,145,1/6,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",7
145,145,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",8
145,16,1/6,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",9
16,1,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",10
1,4224,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",11
4224,128,1/6,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",12
128,1,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",13
1,129,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",14
129,128,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",15
128,1,1/3,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",16
1,2048,1/3,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",17
2048,145,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",18
145,145,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",19
145,145,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",20
145,145,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",21
145,1,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",22
1,128,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",23
128,1,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",24
1,513,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",25
513,512,1/6,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",26
512,4608,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",27
4608,1,1/6,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",28
1,6144,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",29
6144,2048,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",30
2048,2593,1/6,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",31
2593,545,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",32
545,4640,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",33
4640,32,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",34
32,1,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",35
1,4608,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",36
4608,512,1/6,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",37
512,1,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",38
1,513,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",39
513,1,1/6,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",40
1,1,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",41
1,2048,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",42
2048,2593,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",43
2593,545,1/6,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",44
545,33,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",45
33,32,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",46
32,1,1/3,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",47
1,4608,1/6,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",48
4608,512,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",49
512,1,1/3,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",50
1,129,1/3,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",51
129,1,1/3,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",52
1,2048,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",53
2048,2193,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",54
2193,145,1/6,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",55
145,145,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",56
145,145,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",57
145,145,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",58
145,1,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",59
1,128,1/3,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",60
128,1,5/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",61
1,129,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",62
129,128,1/6,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",63
128,1,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",64
1,6144,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",65
6144,2048,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",66
2048,145,1/3,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",67
145,16,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",68
16,1,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",69
1,4224,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",70
4224,128,1/6,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",71
128,1,0.5,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",72
1,32,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",73
32,2080,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",74
2080,512,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",75
512,2597,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",76
2597,2085,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",77
2085,4,1/3,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",78
4,2048,1/3,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",79
2048,32,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",80
32,33,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",81
33,1,1/6,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",82
1,33,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",83
33,2080,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",84
2080,2048,1/6,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",85
2048,2560,1/12,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",86
2560,512,0.25,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",87
512,2597,1/6,"Bach, Carl Philipp Emanuel, Solfeggio in A major, H.222, DZ9SFyeV1Dk.mid",88
