lookback_1,label,duration,file,position
START,Minor Seventh above F#,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",0
Minor Seventh above F#,E,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",1
E,E,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",2
E,F,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",3
F,Minor Sixth above A,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",4
Minor Sixth above A,F-major triad,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",5
F-major triad,F-major triad,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",6
F-major triad,Minor Third above A,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",7
Minor Third above A,C-incomplete major-seventh chord,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",8
C-incomplete major-seventh chord,Perfect Fourth above B,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",9
Perfect Fourth above B,E,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",10
E,Major Sixth above G,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",11
Major Sixth above G,C-major triad,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",12
C-major triad,C-major triad,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",13
C-major triad,C-major triad,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",14
C-major triad,C-major-second major tetrachord,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",15
C-major-second major tetrachord,C-major-second major tetrachord,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",16
C-major-second major tetrachord,C-incomplete major-seventh chord,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",17
C-incomplete major-seventh chord,C-incomplete major-seventh chord,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",18
C-incomplete major-seventh chord,Perfect Fourth above G,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",19
Perfect Fourth above G,F-quartal trichord,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",20
