lookback_1,label,duration,file,position
0,65600,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",0
65600,16,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",1
16,16,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",2
16,32,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",3
32,131584,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",4
131584,135680,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",5
135680,135680,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",6
135680,4608,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",7
4608,71680,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",8
71680,67584,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",9
67584,16,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",10
16,65664,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",11
65664,69760,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",12
69760,69760,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",13
69760,69760,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",14
69760,86144,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",15
86144,86144,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",16
86144,530432,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",17
530432,530432,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",18
530432,4224,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",19
4224,4256,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",20
4256,4768,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",21
4768,4640,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",22
4640,4608,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",23
4608,4112,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",24
4112,4112,5/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",25
4112,4100,1.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",26
4100,4,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",27
4,2052,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",28
2052,2048,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",29
2048,1,1.0,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",30
1,17,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",31
17,71680,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",32
71680,595968,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",33
595968,144,1/6,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",34
144,16,1/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",35
16,2048,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",36
2048,2052,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",37
2052,2564,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",38
2564,2692,0.75,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",39
2692,2692,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",40
2692,2756,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",41
2756,2756,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",42
2756,128,2/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",43
128,128,7/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",44
128,16512,0.5,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",45
16512,18560,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",46
18560,18560,1/3,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",47
18560,18560,5/12,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",48
18560,16512,0.25,"Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",49
