lookback_1,lookback_2,lookback_3,lookback_4,lookback_5,label,duration,file,position
0,0,0,0,0,17,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",0
0,0,0,0,17,17,1/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",1
0,0,0,17,17,17,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",2
0,0,17,17,17,21,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",3
0,17,17,17,21,17,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",4
17,17,17,21,17,21,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",5
17,17,21,17,21,17,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",6
17,21,17,21,17,2065,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",7
21,17,21,17,2065,17,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",8
17,21,17,2065,17,53,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",9
21,17,2065,17,53,53,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",10
17,2065,17,53,53,53,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",11
2065,17,53,53,53,145,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",12
17,53,53,53,145,144,1/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",13
53,53,53,145,144,145,2/3,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",14
53,53,145,144,145,689,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",15
53,145,144,145,689,688,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",16
145,144,145,689,688,672,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",17
144,145,689,688,672,673,0.5,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",18
145,689,688,672,673,645,0.25,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",19
689,688,672,673,645,640,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",20
688,672,673,645,640,645,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",21
672,673,645,640,645,517,1/12,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",22
673,645,640,645,517,512,1/6,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk.mid",23
